observation,action,reward,next_observation
[-0.02032558 -0.02188998  0.0347518   0.00346022],0,1.0,[-0.02076338 -0.21749264  0.034821    0.30690205]
[-0.02076338 -0.21749264  0.034821    0.30690205],0,1.0,[-0.02511323 -0.41309303  0.04095904  0.6103601 ]
[-0.02511323 -0.41309303  0.04095904  0.6103601 ],1,1.0,[-0.03337509 -0.21856682  0.05316624  0.33085406]
[-0.03337509 -0.21856682  0.05316624  0.33085406],1,1.0,[-0.03774643 -0.02424039  0.05978332  0.05539981]
[-0.03774643 -0.02424039  0.05978332  0.05539981],0,1.0,[-0.03823124 -0.22016633  0.06089132  0.36632952]
[-0.03823124 -0.22016633  0.06089132  0.36632952],1,1.0,[-0.04263456 -0.02596014  0.06821791  0.09345111]
[-0.04263456 -0.02596014  0.06821791  0.09345111],1,1.0,[-0.04315377  0.1681211   0.07008693 -0.17695309]
[-0.04315377  0.1681211   0.07008693 -0.17695309],0,1.0,[-0.03979135 -0.02793023  0.06654787  0.1369906 ]
[-0.03979135 -0.02793023  0.06654787  0.1369906 ],1,1.0,[-0.04034995  0.16617855  0.06928769 -0.13397744]
[-0.04034995  0.16617855  0.06928769 -0.13397744],1,1.0,[-0.03702638  0.36024314  0.06660814 -0.4040216 ]
[-0.03702638  0.36024314  0.06660814 -0.4040216 ],1,1.0,[-0.02982152  0.55436033  0.0585277  -0.6749834 ]
[-0.02982152  0.55436033  0.0585277  -0.6749834 ],1,1.0,[-0.01873431  0.7486222   0.04502804 -0.9486799 ]
[-0.01873431  0.7486222   0.04502804 -0.9486799 ],1,1.0,[-0.00376186  0.9431099   0.02605444 -1.2268821 ]
[-0.00376186  0.9431099   0.02605444 -1.2268821 ],0,1.0,[ 0.01510033  0.7476625   0.0015168  -0.9261512 ]
[ 0.01510033  0.7476625   0.0015168  -0.9261512 ],1,1.0,[ 0.03005358  0.9427639  -0.01700623 -1.2183571 ]
[ 0.03005358  0.9427639  -0.01700623 -1.2183571 ],1,1.0,[ 0.04890886  1.138101   -0.04137337 -1.5163199 ]
[ 0.04890886  1.138101   -0.04137337 -1.5163199 ],1,1.0,[ 0.07167088  1.3336983  -0.07169977 -1.8216251 ]
[ 0.07167088  1.3336983  -0.07169977 -1.8216251 ],1,1.0,[ 0.09834485  1.5295396  -0.10813227 -2.1356938 ]
[ 0.09834485  1.5295396  -0.10813227 -2.1356938 ],0,1.0,[ 0.12893564  1.3356413  -0.15084614 -1.8782742 ]
[ 0.12893564  1.3356413  -0.15084614 -1.8782742 ],1,1.0,[ 0.15564847  1.5320522  -0.18841164 -2.2137258 ]
[ 0.15564847  1.5320522  -0.18841164 -2.2137258 ],0,1.0,[ 0.1862895   1.3391684  -0.23268615 -1.9845862 ]
[ 0.04186909 -0.0177383  -0.0110013   0.0262152 ],0,1.0,[ 0.04151433 -0.21270077 -0.01047699  0.3154069 ]
[ 0.04151433 -0.21270077 -0.01047699  0.3154069 ],1,1.0,[ 0.03726031 -0.01743116 -0.00416885  0.01943837]
[ 0.03726031 -0.01743116 -0.00416885  0.01943837],1,1.0,[ 0.03691169  0.17775032 -0.00378009 -0.27455696]
[ 0.03691169  0.17775032 -0.00378009 -0.27455696],0,1.0,[ 0.0404667  -0.01731749 -0.00927122  0.01693133]
[ 0.0404667  -0.01731749 -0.00927122  0.01693133],0,1.0,[ 0.04012034 -0.21230526 -0.0089326   0.30667472]
[ 0.04012034 -0.21230526 -0.0089326   0.30667472],0,1.0,[ 0.03587424 -0.4072988  -0.0027991   0.5965272 ]
[ 0.03587424 -0.4072988  -0.0027991   0.5965272 ],0,1.0,[ 0.02772827 -0.60238147  0.00913144  0.8883271 ]
[ 0.02772827 -0.60238147  0.00913144  0.8883271 ],1,1.0,[ 0.01568064 -0.40738463  0.02689798  0.5985287 ]
[ 0.01568064 -0.40738463  0.02689798  0.5985287 ],1,1.0,[ 0.00753294 -0.21264915  0.03886855  0.31443816]
[ 0.00753294 -0.21264915  0.03886855  0.31443816],0,1.0,[ 0.00327996 -0.4083026   0.04515732  0.61912113]
[ 0.00327996 -0.4083026   0.04515732  0.61912113],0,1.0,[-0.00488609 -0.60402524  0.05753974  0.92567754]
